run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-13-20240904-20:32:23-25926,runattr,,,iterationvars,"$0=70, $1=1",,,
General-13-20240904-20:32:23-25926,runattr,,,iterationvarsf,"70,1-",,,
General-13-20240904-20:32:23-25926,runattr,,,measurement,"$0=70, $1=1",,,
General-13-20240904-20:32:23-25926,runattr,,,network,RandomGrid,,,
General-13-20240904-20:32:23-25926,runattr,,,processid,25926,,,
General-13-20240904-20:32:23-25926,runattr,,,repetition,0,,,
General-13-20240904-20:32:23-25926,runattr,,,replication,#0,,,
General-13-20240904-20:32:23-25926,runattr,,,resultdir,results,,,
General-13-20240904-20:32:23-25926,runattr,,,runnumber,13,,,
General-13-20240904-20:32:23-25926,runattr,,,seedset,13,,,
General-13-20240904-20:32:23-25926,param,,,RandomGrid.poweroff_rate,70,,,
General-13-20240904-20:32:23-25926,param,,,RandomGrid.g_syn_scheme,1,,,
General-13-20240904-20:32:23-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-13-20240904-20:32:23-25926,param,,,RandomGrid.g_ic_num,6,,,
General-13-20240904-20:32:23-25926,param,,,RandomGrid.g_energy_model,0,,,
General-13-20240904-20:32:23-25926,param,,,RandomGrid.sink.node_type,0,,,
General-13-20240904-20:32:23-25926,param,,,RandomGrid.icc.node_type,2,,,
General-13-20240904-20:32:23-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-13-20240904-20:32:23-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-11-20240904-20:32:08-25926,runattr,,,configname,General,,,
General-11-20240904-20:32:08-25926,runattr,,,datetime,20240904-20:32:08,,,
General-11-20240904-20:32:08-25926,runattr,,,experiment,General,,,
General-11-20240904-20:32:08-25926,runattr,,,inifile,omnetpp.ini,,,
General-11-20240904-20:32:08-25926,runattr,,,iterationvars,"$0=50, $1=2",,,
General-11-20240904-20:32:08-25926,runattr,,,iterationvarsf,"50,2-",,,
General-11-20240904-20:32:08-25926,runattr,,,measurement,"$0=50, $1=2",,,
General-11-20240904-20:32:08-25926,runattr,,,network,RandomGrid,,,
General-11-20240904-20:32:08-25926,runattr,,,processid,25926,,,
General-11-20240904-20:32:08-25926,runattr,,,repetition,0,,,
General-11-20240904-20:32:08-25926,runattr,,,replication,#0,,,
General-11-20240904-20:32:08-25926,runattr,,,resultdir,results,,,
General-11-20240904-20:32:08-25926,runattr,,,runnumber,11,,,
General-11-20240904-20:32:08-25926,runattr,,,seedset,11,,,
General-11-20240904-20:32:08-25926,param,,,RandomGrid.poweroff_rate,50,,,
General-11-20240904-20:32:08-25926,param,,,RandomGrid.g_syn_scheme,2,,,
General-11-20240904-20:32:08-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-11-20240904-20:32:08-25926,param,,,RandomGrid.g_ic_num,6,,,
General-11-20240904-20:32:08-25926,param,,,RandomGrid.g_energy_model,0,,,
General-11-20240904-20:32:08-25926,param,,,RandomGrid.sink.node_type,0,,,
General-11-20240904-20:32:08-25926,param,,,RandomGrid.icc.node_type,2,,,
General-11-20240904-20:32:08-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-11-20240904-20:32:08-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-1-20240904-19:36:57-25926,runattr,,,configname,General,,,
General-1-20240904-19:36:57-25926,runattr,,,datetime,20240904-19:36:57,,,
General-1-20240904-19:36:57-25926,runattr,,,experiment,General,,,
General-1-20240904-19:36:57-25926,runattr,,,inifile,omnetpp.ini,,,
General-1-20240904-19:36:57-25926,runattr,,,iterationvars,"$0=0, $1=1",,,
General-1-20240904-19:36:57-25926,runattr,,,iterationvarsf,"0,1-",,,
General-1-20240904-19:36:57-25926,runattr,,,measurement,"$0=0, $1=1",,,
General-1-20240904-19:36:57-25926,runattr,,,network,RandomGrid,,,
General-1-20240904-19:36:57-25926,runattr,,,processid,25926,,,
General-1-20240904-19:36:57-25926,runattr,,,repetition,0,,,
General-1-20240904-19:36:57-25926,runattr,,,replication,#0,,,
General-1-20240904-19:36:57-25926,runattr,,,resultdir,results,,,
General-1-20240904-19:36:57-25926,runattr,,,runnumber,1,,,
General-1-20240904-19:36:57-25926,runattr,,,seedset,1,,,
General-1-20240904-19:36:57-25926,param,,,RandomGrid.poweroff_rate,0,,,
General-1-20240904-19:36:57-25926,param,,,RandomGrid.g_syn_scheme,1,,,
General-1-20240904-19:36:57-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-1-20240904-19:36:57-25926,param,,,RandomGrid.g_ic_num,6,,,
General-1-20240904-19:36:57-25926,param,,,RandomGrid.g_energy_model,0,,,
General-1-20240904-19:36:57-25926,param,,,RandomGrid.sink.node_type,0,,,
General-1-20240904-19:36:57-25926,param,,,RandomGrid.icc.node_type,2,,,
General-1-20240904-19:36:57-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-1-20240904-19:36:57-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-15-20240904-20:32:37-25926,runattr,,,configname,General,,,
General-15-20240904-20:32:37-25926,runattr,,,datetime,20240904-20:32:37,,,
General-15-20240904-20:32:37-25926,runattr,,,experiment,General,,,
General-15-20240904-20:32:37-25926,runattr,,,inifile,omnetpp.ini,,,
General-15-20240904-20:32:37-25926,runattr,,,iterationvars,"$0=90, $1=0",,,
General-15-20240904-20:32:37-25926,runattr,,,iterationvarsf,"90,0-",,,
General-15-20240904-20:32:37-25926,runattr,,,measurement,"$0=90, $1=0",,,
General-15-20240904-20:32:37-25926,runattr,,,network,RandomGrid,,,
General-15-20240904-20:32:37-25926,runattr,,,processid,25926,,,
General-15-20240904-20:32:37-25926,runattr,,,repetition,0,,,
General-15-20240904-20:32:37-25926,runattr,,,replication,#0,,,
General-15-20240904-20:32:37-25926,runattr,,,resultdir,results,,,
General-15-20240904-20:32:37-25926,runattr,,,runnumber,15,,,
