t_chr,x_opt,y
1500,0.021780239294083504,2459340.4677253813
1450,0.022309625765504756,2300397.956327198
1400,0.022844136633320956,2146704.3628375176
1350,0.023424076196607527,1998263.28221161
1300,0.023948800207266887,1855076.6798797096
1250,0.02456378701108067,1717149.6013939388
1200,0.025251999170021768,1584493.037444496
1150,0.025970837779526485,1457114.844058786
1100,0.02666198590933177,1335020.3098147172
1050,0.027595236415894675,1218219.625839979
