Time [s],Channel 2,Channel 13
40.644661000,0,0
40.646549000,1,0
40.648445000,0,0
40.650333000,1,0
40.652229000,0,0
40.654117000,1,0
40.656013000,0,0
40.657901000,1,0
40.659796000,0,0
40.661683000,1,0
40.663578000,0,0
40.665466000,1,0
40.667361000,0,0
40.669250000,1,0
40.671145000,0,0
40.673034000,1,0
40.674930000,0,0
40.676818000,1,0
40.678714000,0,0
40.680601000,1,0
40.682496000,0,0
40.684385000,1,0
40.686280000,0,0
40.688169000,1,0
40.690064000,0,0
40.691951000,1,0
40.693848000,0,0
40.695735000,1,0
40.697631000,0,0
40.699519000,1,0
40.701416000,0,0
40.703303000,1,0
40.705200000,0,0
40.707087000,1,0
40.708983000,0,0
40.710870000,1,0
40.712762000,0,0
40.714653000,1,0
40.716545000,0,0
41.934139000,0,1
41.936035000,0,0
41.937932000,0,1
41.939828000,0,0
41.941725000,0,1
41.943621000,0,0
41.945518000,0,1
41.947414000,0,0
41.949310000,0,1
41.951206000,0,0
41.953102000,0,1
41.954997000,0,0
41.956893000,0,1
41.958789000,0,0
41.960685000,0,1
41.962582000,0,0
41.964478000,0,1
41.966375000,0,0
41.968271000,0,1
41.970168000,0,0
41.972064000,0,1
41.973960000,0,0
41.975856000,0,1
41.977753000,0,0
41.979648000,0,1
41.981545000,0,0
41.983441000,0,1
41.985337000,0,0
41.987234000,0,1
41.989130000,0,0
41.991027000,0,1
41.992923000,0,0
41.994820000,0,1
41.996716000,0,0
41.998612000,0,1
42.000508000,0,0
42.002404000,0,1
42.004300000,0,0
42.006196000,0,1
42.008091000,0,0
42.009987000,0,1
42.011883000,0,0
42.013779000,0,1
42.015676000,0,0
42.017572000,0,1
42.019469000,0,0
42.021365000,0,1
42.023262000,0,0
42.025158000,0,1
42.027054000,0,0
42.028949000,0,1
42.030846000,0,0
42.032742000,0,1
42.034639000,0,0
42.036535000,0,1
42.038431000,0,0
42.040328000,0,1
42.042223000,0,0
42.044121000,0,1
42.046016000,0,0
42.047914000,0,1
42.049809000,0,0
42.051706000,0,1
42.053601000,0,0
42.055497000,0,1
42.057393000,0,0
42.059289000,0,1
42.061185000,0,0
42.063081000,0,1
42.064976000,0,0
42.066872000,0,1
42.068770000,0,0
42.070665000,0,1
42.072562000,0,0
42.074458000,0,1
42.076356000,0,0
42.078251000,0,1
42.080147000,0,0
42.082043000,0,1
42.083940000,0,0
42.085835000,0,1
42.087733000,0,0
42.089629000,0,1
42.091524000,0,0
42.093421000,0,1
42.095317000,0,0
42.097214000,0,1
42.099110000,0,0
42.101007000,0,1
42.102903000,0,0
42.104799000,0,1
42.106695000,0,0
42.108591000,0,1
42.110487000,0,0
42.112382000,0,1
42.114278000,0,0
42.116174000,0,1
42.118070000,0,0
42.119966000,0,1
42.121863000,0,0
42.123759000,0,1
42.125656000,0,0
42.127552000,0,1
42.129449000,0,0
42.131345000,0,1
42.133241000,0,0
42.135136000,0,1
42.137033000,0,0
42.138929000,0,1
42.140826000,0,0
42.142722000,0,1
42.144618000,0,0
42.146514000,0,1
42.148410000,0,0
42.150308000,0,1
42.152203000,0,0
42.154100000,0,1
42.155996000,0,0
42.157892000,0,1
42.159788000,0,0
42.161684000,0,1
42.163580000,0,0
42.165475000,0,1
42.167371000,0,0
42.169267000,0,1
42.171162000,0,0
42.173058000,0,1
42.174955000,0,0
42.176851000,0,1
42.178748000,0,0
42.180644000,0,1
42.182541000,0,0
42.184437000,0,1
42.186333000,0,0
42.188229000,0,1
42.190126000,0,0
42.192022000,0,1
42.193919000,0,0
42.195815000,0,1
42.197710000,0,0
42.199607000,0,1
42.201503000,0,0
42.203400000,0,1
42.205296000,0,0
42.207193000,0,1
42.209089000,0,0
42.210985000,0,1
42.212880000,0,0
42.214776000,0,1
42.216672000,0,0
42.218567000,0,1
42.220463000,0,0
42.222359000,0,1
42.224254000,0,0
42.226150000,0,1
42.228047000,0,0
42.229942000,0,1
42.231839000,0,0
42.233735000,0,1
42.235632000,0,0
42.237528000,0,1
42.239424000,0,0
42.241319000,0,1
42.243216000,0,0
42.245112000,0,1
42.247009000,0,0
42.248905000,0,1
42.250800000,0,0
42.252697000,0,1
42.254593000,0,0
42.256490000,0,1
42.258386000,0,0
42.260283000,0,1
42.262178000,0,0
42.264075000,0,1
42.265970000,0,0
42.267866000,0,1
42.269762000,0,0
42.271657000,0,1
42.273553000,0,0
93.281886000,0,1
93.283769000,0,0
93.285653000,0,1
93.287536000,0,0
93.289421000,0,1
93.291304000,0,0
93.293187000,0,1
93.295070000,0,0
93.296954000,0,1
93.298837000,0,0
93.300720000,0,1
93.302603000,0,0
93.304486000,0,1
93.306370000,0,0
93.308253000,0,1
93.310138000,0,0
