Time [s],Channel 2,Channel 3,Channel 15
105.093586880,0,0,0
105.095423200,0,1,0
105.097259680,0,0,0
105.099097600,0,1,0
105.100934240,0,0,0
105.102772000,0,1,0
105.104608480,0,0,0
105.106445120,0,1,0
105.108281920,0,0,0
105.110118240,0,1,0
105.111954880,0,0,0
105.113791520,0,1,0
105.115628160,0,0,0
105.117464800,0,1,0
105.119302720,0,0,0
105.121139360,0,1,0
105.122977440,0,0,0
105.124814080,0,1,0
105.126650720,0,0,0
105.128487200,0,1,0
105.130323680,0,0,0
105.132160480,0,1,0
105.133997280,0,0,0
105.135835200,0,1,0
105.137671840,0,0,0
105.139509760,0,1,0
105.141346400,0,0,0
105.143184320,0,1,0
105.145020960,0,0,0
105.146858720,0,1,0
105.148695360,0,0,0
105.150532000,0,1,0
105.152370080,0,0,0
105.154206720,0,1,0
105.156044800,0,0,0
105.156044960,0,1,0
105.156045120,0,0,0
105.157881440,0,1,0
105.159719520,0,0,0
105.161556160,0,1,0
105.163394080,0,0,0
105.165230720,0,1,0
105.167068800,0,0,0
105.168905440,0,1,0
105.170742240,0,0,0
105.172580160,0,1,0
105.174416800,0,0,0
105.176253600,0,1,0
105.178090400,0,0,0
105.179927040,0,1,0
105.181763840,0,0,0
105.183600480,0,1,0
105.185437280,0,0,0
105.187273920,0,1,0
105.189112000,0,0,0
105.190948640,0,1,0
105.192786720,0,0,0
105.194623200,0,1,0
105.196460000,0,0,0
105.198296640,0,1,0
105.200133280,0,0,0
105.201970080,0,1,0
105.203806720,0,0,0
105.205644480,0,1,0
105.207481280,0,0,0
105.209319200,0,1,0
105.211155840,0,0,0
105.212993760,0,1,0
105.214830400,0,0,0
105.216668320,0,1,0
105.218504960,0,0,0
105.220341600,0,1,0
105.222179680,0,0,0
105.224016160,0,1,0
105.225854240,0,0,0
105.227690880,0,1,0
105.229528800,0,0,0
105.231365600,0,1,0
105.233203520,0,0,0
105.235040320,0,1,0
105.236878240,0,0,0
105.238715040,0,1,0
105.240551840,0,0,0
105.242389600,0,1,0
105.244226240,0,0,0
105.244226400,0,1,0
105.244226560,0,0,0
105.246064160,0,1,0
105.247900960,0,0,0
105.249737440,0,1,0
105.251574240,0,0,0
105.253410880,0,1,0
105.255247520,0,0,0
105.257084000,0,1,0
105.258922080,0,0,0
105.260758720,0,1,0
105.262596640,0,0,0
105.264433280,0,1,0
105.266269920,0,0,0
105.268106560,0,1,0
105.269943200,0,0,0
105.271779840,0,1,0
105.273616320,0,0,0
105.275454240,0,1,0
105.277291040,0,0,0
105.279128960,0,1,0
105.280965600,0,0,0
105.282803360,0,1,0
105.284640000,0,0,0
105.286477280,0,1,0
105.288313760,0,0,0
105.290150720,0,1,0
105.291987360,0,0,0
105.293824000,0,1,0
105.295662080,0,0,0
105.297498720,0,1,0
105.299336640,0,0,0
105.301173440,0,1,0
105.303011360,0,0,0
105.304848160,0,1,0
105.306686400,0,0,0
105.308523040,0,1,0
105.310359840,0,0,0
105.312197920,0,1,0
105.314034720,0,0,0
105.315872800,0,1,0
105.317709760,0,0,0
105.319546240,0,1,0
105.321382880,0,0,0
105.323219520,0,1,0
105.325056320,0,0,0
105.326892960,0,1,0
105.328731040,0,0,0
105.330567680,0,1,0
105.332405440,0,0,0
105.334242240,0,1,0
105.336078880,0,0,0
105.337915520,0,1,0
105.339752000,0,0,0
105.341588800,0,1,0
105.343425440,0,0,0
105.345263520,0,1,0
105.347100320,0,0,0
105.348938400,0,1,0
105.350775200,0,0,0
105.350775360,0,1,0
105.350775520,0,0,0
105.352613120,0,1,0
105.354449760,0,0,0
105.356287040,0,1,0
105.358123680,0,0,0
105.359960800,0,1,0
105.361797440,0,0,0
105.363634080,0,1,0
105.365472320,0,0,0
105.367308800,0,1,0
105.369146720,0,0,0
105.370983360,0,1,0
105.372821600,0,0,0
105.374658080,0,1,0
105.376496160,0,0,0
105.378332800,0,1,0
